Facies,LDA_0,LDA_1,LDA_2,LDA_3,LDA_4
3,0.7443618970982145,-0.047989426961015436,1.05053239363265,1.0436884767252095,1.0651904757227828
3,-0.3360905709620705,0.5224760799838807,1.0959524662025062,0.9249269889321752,1.8239198588366115
3,-1.1285663760461901,0.8982788868470052,0.8289920373708104,0.6816121484749509,1.8633060284580762
3,-1.2619655403378949,0.9694067938481401,0.7507940696751556,0.7846762887405173,1.5295641758506493
3,-1.3070787044517782,0.8752119400171472,0.5440459356266704,0.4168080092373862,1.6795015592184823
3,-1.06553916385699,0.696187824521315,0.7246464016906532,0.5389083508985937,1.8191854094344495
3,-1.0502468022259916,0.661802142777946,1.0144495661693944,0.6204242797419706,2.1707553642610353
3,-1.4371339754583952,0.8507193977925377,0.922443462448632,0.6093655207701739,2.2688069656125824
3,-1.5489461954274686,0.8845668603736265,0.8098107781986148,0.49513305134593705,2.235705386890251
3,-1.4935660550741032,0.8269546106579572,0.9952925113244095,0.6569632681389258,2.3291137574247984
3,-1.203838924753805,0.5898825143949273,0.7033797248285917,0.6925755609996587,1.9106984024895373
3,-0.961135560993603,0.36738062042768943,0.4789782853306098,0.7338115186193277,1.6220570223471336
3,-1.1145447787048417,0.28199984154133245,0.03274748269369523,0.5295657688476703,1.2478009242207002
3,-1.5375791624957413,0.37563588821150534,0.6254138566373005,0.7492723844379959,1.4795004707575303
2,-1.985801636646253,0.49953675637264755,0.8694500067223923,0.7913403014989564,1.567868365664201
2,-1.9394297520337458,0.10648972619088799,0.2249034796869894,0.46632821015228054,1.264750737147492
2,-1.7459261058234186,-0.20576377785270233,-0.2778139655651301,0.2548576543047889,0.9520678900699129
2,-1.830005448758699,-0.3175892814756317,-0.5085411981265706,0.05797787045237024,0.9138211062194969
2,-1.8831422024247924,-0.41389625892959286,-0.7159072102800379,-0.02410397368187315,0.5838128548896631
2,-1.9691694415140744,-0.47683780471793374,-1.035581371314175,-0.18584151117967473,0.5362762565131232
2,-1.605380350862209,-0.7747607410302926,-1.0363742155063829,-0.12915718429391643,0.37995849143162924
2,-1.676551332325277,-0.8170421176893348,-1.110784886238122,-0.07157920347146751,0.48456573154451926
2,-1.7378204275489881,-0.8005171772218167,-1.011932939691692,0.12588826615136267,0.31522633278514534
2,-1.8212290533757596,-0.7565543243986108,-0.8567576741894953,0.20158215410142394,0.4339234471467775
2,-1.7234554300148457,-0.8303036734920699,-0.8778577906184308,0.017138837928520504,0.4191923775338188
3,-1.7479583877323102,-0.7105591831979357,-0.9578954146881318,0.2578372686303945,0.15815665203036422
3,-1.7533093957723984,-0.6488290976863524,-1.1413237392130626,0.48218204862940045,-0.14812223794958465
2,-1.9746869526624942,-0.5512808612405606,-0.6587313921506514,0.6401092372871018,0.21748973883949935
2,-2.1996970114480057,-0.5045252110873764,0.8150951136571603,0.7397648194288955,1.0949720112343075
2,-2.5604083368111445,-0.3122762230038527,1.7505393259795718,0.6394628710774528,1.6943076362996876
2,-2.308183317265925,-0.360468133156229,1.7111528790744666,0.488550333349138,1.7855379386494934
2,-1.9701892563902808,-0.3599001153975127,0.42675539415870745,0.23989465504570504,1.4358068136904234
2,-1.7754584251534207,-0.15736413428750967,-0.5130124708885038,0.24106833693742843,1.140842335212774
3,-1.4768354760351723,-0.061181156760468515,-1.3298896207757356,0.2138563793456524,1.1083617836738255
3,-1.151226202783642,-0.016654755026320873,-1.9522936964040758,0.23686767382726212,1.4545141885610247
3,0.5198340596994416,-0.6113482512214244,-0.7236093358954132,1.0931227422439564,1.66046325252487
3,-0.26972512569721496,-0.21058829213544988,0.3392035508503063,0.9456931718070127,1.2836633677664977
3,-1.504597838629666,0.44958608393212185,1.4648553192917961,0.9440604294477096,1.5385127082064711
3,-2.1201657488586143,0.7588179520334566,1.9092598886477414,0.8759949893078147,1.7885762260688878
3,-1.950423350361229,0.5646630280207771,1.2413044015887205,0.41053484879953284,2.099036456184471
3,-1.627617263055796,0.28006830428132606,0.5735822423396478,0.24447028524452874,1.9775084937184633
2,-1.747727879669119,0.32956093748704135,0.7185659492326492,0.4555809714832831,1.9751835062895902
2,-1.896142550806231,0.4422953414086171,1.3205272336048692,0.3251013264791995,2.612199583114225
8,-0.9179351581066714,0.49255414723781704,0.025812300017665785,0.045871717267449846,1.6279934828929294
8,0.36743840827519925,0.28984347965527113,-0.8702140849160416,-0.019104818264537856,0.9521400342325789
8,2.113292157386128,-0.24431216002239853,-0.49277458864622053,0.27248080117050044,0.8870408317449563
8,2.925718365449688,-0.2688626662400476,0.13683546988169826,0.6595199520342915,0.6777296244928537
6,3.162554423713209,0.17721400696552808,0.6478325889767902,0.8755399336374774,0.3649900493573268
6,3.0635774681795973,0.7571134840143928,0.9821033823795275,1.035562539135179,0.05606007115705373
6,2.8829773956067446,1.1677927190171382,1.16975266418609,1.22288548257431,-0.12631689375240449
6,2.8791382041437688,1.2662503769641362,1.348195541402883,1.1681152127650378,0.007637027945220893
6,2.7488408481198516,1.2667804995160066,1.5375163842783992,1.2331973853730396,0.2554260985959981
6,2.8322549619178363,0.9712638933514869,1.6698880580249111,1.0118795905089462,0.803581675891392
6,1.821283042036951,1.1159935506070688,1.402503178486143,0.3326273991227314,1.5201687896019438
6,1.3364949536756165,1.1919968799176164,0.9640697273720692,-0.016730171648432875,1.2746637205873241
6,1.3067515905843032,0.9651874155293334,0.35406226398992563,-0.39824998034223363,0.7800307950031602
6,1.0944881578288472,0.7882983024304452,-0.2842634798436627,-0.5102954678859772,0.4043147079202226
6,1.1032410499074963,0.6022836547836299,-0.10619918659252434,0.06968960675822215,0.44524038375026526
6,0.6202651235383309,0.652073188202593,0.2993459299520795,0.44421446342548354,1.2145245768411508
6,0.49696003884637907,0.3902822291989459,0.8222463234897373,0.39338772189936677,2.0401673138027125
7,-0.21895525728414622,0.5062392515108723,0.80430597424039,-0.08789432634595953,2.677394098949245
7,-0.48814804393324446,0.5343166026024618,0.9996232746045008,-0.10413242569055259,2.890438489487615
4,-0.8536945761059536,0.7257153980370549,0.7585543937395515,-0.06310983178435692,2.8614836648139463
4,-0.8621063899411986,0.7880943555030885,0.5593144492393645,0.3271809968869405,2.2757187171795725
4,0.7732139616995054,0.03782921766622205,0.2578623842839259,0.7793216080443426,1.0278589220953556
4,2.006041390740383,-0.5015377594222077,0.5083271349204583,0.6916085799346208,0.7475695331394244
4,2.7453676471037545,-0.6835534638722369,0.9085637856510378,0.9251061894888861,0.3621615106205076
6,3.124704710608057,-0.7079675879564399,0.9885829714390343,0.6411517500213141,0.29091420279410785
6,2.7862553960398717,-0.14116452876708147,1.0205361294697002,0.9039047723353333,-0.03542585621498209
6,2.497400319624971,0.3792547876563492,1.1471394522085412,1.3909872052341334,-0.3366050113490182
6,2.269041583136406,0.8413367197663915,1.325117930121895,2.0906959833662775,-0.6243367233520979
6,2.112572041920178,1.1157283235854016,1.2256785875187695,2.065330168352591,-0.5339095732067368
6,2.809831923996182,0.9006181584116912,1.575673667454916,1.9881980329508593,-0.25422925229870136
6,2.9835797075615047,0.924550469504142,1.6334669761109424,1.5310247149347196,0.023448473880750206
6,4.214708831665954,0.3953119297251478,1.759732121630249,0.7486789627196109,0.38350212024160624
6,4.500050869455546,0.2728192385846063,1.614212079511171,0.39687613553958667,0.702434027155226
6,4.046076445763998,0.39289988351613664,1.0997302884318887,-0.17298446992228378,0.7923612912031366
6,3.7934305970379603,0.48356332348747344,1.0688080072124893,-0.043270411917332864,0.778948479618085
6,3.5458994428731914,0.48594610589555887,0.8160454890980965,-0.09206291650696896,0.43496156166438993
